ms,ax,ay,az,gx,gy,gz
981032,-0.0017,0.6372,-0.4395,45.4102,-8.9722,-22.4609
981041,0.0195,0.6438,-0.4410,39.7339,-12.0850,-21.1792
981049,0.0300,0.6534,-0.4404,35.0342,-13.2446,-20.2026
981057,0.0391,0.6680,-0.4425,31.1279,-13.9160,-18.4937
981066,0.0594,0.6731,-0.4435,25.9399,-13.6108,-16.7847
981074,0.0695,0.6801,-0.4523,21.3623,-11.5356,-15.3198
981082,0.0768,0.6798,-0.4556,18.0054,-8.1177,-12.9395
981090,0.0720,0.6841,-0.4563,16.9067,-4.6387,-10.3149
981099,0.0687,0.6880,-0.4519,15.8081,-1.4038,-7.6294
981106,0.0631,0.6907,-0.4434,13.3667,1.7090,-5.9814
981115,0.0632,0.6946,-0.4440,10.7422,3.6011,-5.0659
981123,0.0527,0.6924,-0.4320,9.9487,4.5776,-4.1504
981131,0.0426,0.7007,-0.4276,8.9111,5.2490,-2.3804
981140,0.0426,0.6974,-0.4233,5.4321,5.2490,-0.7324
981148,0.0527,0.6997,-0.4244,2.9297,5.2490,1.0376
981156,0.0662,0.7026,-0.4307,0.6104,5.3101,2.5635
981164,0.0890,0.7009,-0.4344,-1.3428,5.9814,4.2114
981173,0.0996,0.7039,-0.4451,-2.8076,7.0190,5.4321
981181,0.1083,0.7118,-0.4507,-4.3335,7.3242,6.3477
981189,0.1143,0.7225,-0.4539,-6.7139,7.0801,6.7749
981198,0.1057,0.7295,-0.4542,-8.1787,6.1646,7.1411
981206,0.1024,0.7356,-0.4481,-10.6201,4.6997,8.1787
981214,0.1061,0.7373,-0.4429,-13.4277,3.5400,9.2163
981223,0.1022,0.7402,-0.4336,-16.2964,2.7466,11.1694
981230,0.0836,0.7317,-0.4397,-19.2871,1.9531,13.7329
981239,0.0751,0.7212,-0.4471,-20.8130,0.5493,16.0522
981247,0.0686,0.7063,-0.4526,-21.1792,-1.4038,18.4937
981255,0.0690,0.6947,-0.4518,-22.0337,-3.1128,21.3013
981264,0.0790,0.6919,-0.4447,-22.5220,-3.6621,23.2544
981272,0.0829,0.6982,-0.4420,-22.8882,-2.6855,24.9634
981280,0.0779,0.6954,-0.4487,-24.9023,-0.3662,27.1606
981288,0.0774,0.6880,-0.4598,-26.7334,2.1362,29.4189
981297,0.0770,0.6812,-0.4703,-27.9541,4.7607,31.0059
981305,0.0601,0.6727,-0.4834,-28.8086,6.8970,32.2266
981313,0.0436,0.6639,-0.4944,-30.5786,7.9346,33.4473
981322,0.0282,0.6555,-0.5013,-32.1655,8.1177,34.8511
981330,0.0259,0.6416,-0.5039,-34.6680,7.8735,36.2549
981338,0.0386,0.6355,-0.5049,-36.3159,7.8735,37.7197
981346,0.0470,0.6217,-0.5035,-38.0249,7.8125,38.6963
981354,0.0702,0.6106,-0.4884,-40.2222,7.5073,40.2832
981363,0.0894,0.6036,-0.4747,-43.0298,7.4463,41.9922
981371,0.1091,0.5940,-0.4636,-46.2646,7.5073,44.0063
981379,0.1190,0.5845,-0.4636,-50.0488,7.4463,45.9595
981388,0.1418,0.5759,-0.4685,-54.9927,7.0190,48.1567
981396,0.1486,0.5675,-0.4893,-60.7300,6.1035,50.2930
981404,0.1351,0.5594,-0.5157,-68.2373,4.4556,53.2227
981413,0.1443,0.5477,-0.5382,-76.9043,3.6011,57.1289
981420,0.1521,0.5381,-0.5508,-84.5947,4.1504,60.7300
981429,0.1541,0.5322,-0.5553,-92.3462,6.2256,65.4297
981437,0.1561,0.5264,-0.5542,-100.4028,9.5215,70.8618
981445,0.1704,0.5239,-0.5579,-106.5063,14.6484,77.6367
981454,0.2189,0.5177,-0.5616,-105.7129,23.7427,87.8296
981462,0.1475,0.5048,-0.5721,-106.4453,33.2031,96.8628
981470,0.1462,0.5151,-0.6045,-120.1172,35.2783,100.1587
981478,0.1461,0.5389,-0.6727,-131.0425,34.7900,108.8257
981487,0.0853,0.5433,-0.7679,-142.8223,37.3535,125.1221
981495,0.0359,0.5366,-0.9033,-146.8506,49.0723,139.5264
981503,-0.0839,0.5715,-1.1025,-149.1699,64.4531,147.8271
981512,-0.2336,0.5706,-1.2399,-165.5884,71.7163,159.9731
981519,-0.2413,0.5466,-1.3120,-180.4199,82.1533,167.8467
981528,-0.1304,0.5405,-1.2528,-167.3584,103.7598,173.8892
981537,-0.2235,0.5602,-1.2590,-143.5547,126.5869,182.1899
981544,-0.2993,0.5183,-1.2360,-122.0093,138.3057,192.5049
981553,-0.3542,0.4518,-1.1082,-83.4351,140.9302,205.1392
